Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
2472,XGBoost,5000,0.9523947698988917,15233.783941955566,25666.182083274438,0.9524876246354083,0.9524876246354083,9126.683124999996,263051.4675,0.1688984737280541,17.690746893978712,1133.537696950684,0.999,0.7185375,7616.891970977783,2.078417631116367,100.0,"{'Coverage Limit': 72536.33, 'Incident History': 40122.793, 'Industry Type': 23898.377, 'Years of Operation': 20307.588, 'Pollution Risk': 13699.459, 'Company Size': 11235.569, 'Regulatory Compliance': 10402.713}"
2473,XGBoost,100,0.7376950057750302,22588.43494921875,38535.55972081218,0.7638645420073822,0.7638645420073822,11675.37125,144366.01,0.34980536085500974,24.9966373404157,12171.84476171875,1.0,0.6217004,11294.217474609375,1.2070370943513289,100.0,"{'Coverage Limit': 47424.266, 'Incident History': 34590.598, 'Pollution Risk': 13232.464, 'Company Size': 12162.038, 'Years of Operation': 11019.202, 'Industry Type': 10448.953, 'Regulatory Compliance': 7580.8877}"
2474,XGBoost,1000,0.9398290664441865,19752.111797509766,26787.69205280221,0.939837520708515,0.939837520708515,14633.382343749996,86692.98343749999,0.22609750444967755,25.748636245451493,-317.5263959472657,1.0,0.69718856,9876.055898754883,1.7401053033964737,100.0,"{'Coverage Limit': 67677.34, 'Incident History': 42405.074, 'Years of Operation': 23305.21, 'Industry Type': 20967.54, 'Pollution Risk': 13634.508, 'Company Size': 10464.191, 'Regulatory Compliance': 8539.529}"
2475,XGBoost,2000,0.9394787978671153,18627.976961236574,27992.536735576705,0.9396728715726106,0.9396728715726106,11543.80093749999,123047.67125,0.20799711094152912,18.407989276259794,1585.15535770874,1.0,0.68913805,9313.988480618287,1.9045606733668592,100.0,"{'Coverage Limit': 71211.74, 'Incident History': 39672.83, 'Industry Type': 20225.082, 'Years of Operation': 17216.59, 'Pollution Risk': 12543.885, 'Regulatory Compliance': 10933.247, 'Company Size': 10343.559}"
2476,XGBoost,5000,0.9391606089655776,16864.55354543167,25968.921237487764,0.939947398379527,0.939947398379527,11106.781875,193781.37125,0.20367330609239057,23.553134600066215,2953.185544802704,1.0,0.7140022,8432.276772715835,2.0157841062717665,100.0,"{'Coverage Limit': 68373.4, 'Incident History': 38553.8, 'Years of Operation': 21816.225, 'Industry Type': 20829.191, 'Pollution Risk': 13231.182, 'Company Size': 11840.733, 'Regulatory Compliance': 10350.149}"
2477,XGBoost,100,0.6664046280213352,47612.745703124994,75298.1800953284,0.6680293673220984,0.6680293673220984,19618.370468750003,249024.1625,0.4358259093276684,36.63939727059463,-5254.922484375001,0.95,0.7608935,23806.372851562497,2.3636302396654076,100.0,"{'Coverage Limit': 71783.85, 'Incident History': 36038.336, 'Years of Operation': 27770.016, 'Pollution Risk': 9834.004, 'Industry Type': 8251.683, 'Company Size': 7870.8345, 'Regulatory Compliance': 5344.4087}"
2478,XGBoost,1000,0.904763125965636,24293.045977832033,38538.640594811404,0.905284064764974,0.905284064764974,12489.839062500003,173869.583125,0.24810399460383895,21.471282024972826,-2850.2777176757822,1.0,0.6802628,12146.522988916016,2.0934655722965654,100.0,"{'Coverage Limit': 70929.3, 'Incident History': 37411.316, 'Years of Operation': 18237.896, 'Industry Type': 17728.195, 'Pollution Risk': 14999.37, 'Company Size': 11523.227, 'Regulatory Compliance': 8770.176}"
2479,XGBoost,2000,0.9569285262469681,16141.372353393554,24851.849047964122,0.9570896848691469,0.9570896848691469,10077.6105078125,142362.03249999997,0.17379952138178356,19.135097995902438,1520.1645963134763,1.0,0.73062754,8070.686176696777,2.027970496626513,100.0,"{'Coverage Limit': 67324.93, 'Incident History': 40066.156, 'Industry Type': 23522.582, 'Years of Operation': 18965.17, 'Company Size': 12493.821, 'Pollution Risk': 12334.219, 'Regulatory Compliance': 9289.671}"
2480,XGBoost,5000,0.9544918091500209,16340.101235517579,24806.903348962463,0.9545241645442556,0.9545241645442556,10222.335859375005,131395.34875,0.17903009965780173,20.174521847600175,-661.4562389550779,1.0,0.73880553,8170.0506177587895,2.0423371252763163,100.0,"{'Coverage Limit': 72169.71, 'Incident History': 40152.055, 'Industry Type': 21877.611, 'Years of Operation': 19757.57, 'Pollution Risk': 13753.789, 'Company Size': 10851.513, 'Regulatory Compliance': 9425.737}"
2481,XGBoost,100,0.9172576942661995,20947.601399414067,27076.023664438788,0.9173828104291846,0.9173828104291846,17935.396015624996,64804.32500000001,0.28136826072602006,17.48410925258966,-1052.877352539062,1.0,0.57418585,10473.800699707033,2.3383907918795876,100.0,"{'Coverage Limit': 64929.79, 'Incident History': 38963.05, 'Pollution Risk': 13863.432, 'Years of Operation': 13044.349, 'Industry Type': 7985.5938, 'Company Size': 3553.1821, 'Regulatory Compliance': 3524.4927}"
