Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
31,XGBoost,2000,0.8408698177061372,363.2440009133816,982.9676157250802,0.8434233015970543,0.8434233015970543,44.69156051635743,8532.77453125,0.2149734633555729,78.03995901470074,124.51724154367446,0.9975,2.0715663,181.6220004566908,1.970986245256867,100.0,"{'Company Size': 1809.8275, 'Business Interruption Cost': 136.40813, 'Data Sensitivity': 131.28333, 'Security Score': 53.14162, 'Industry Risk': 26.402203}"
32,XGBoost,5000,0.8880529950420956,393.26834708946467,1095.6479816560052,0.8881823290041796,0.8881823290041796,44.94207168579102,10111.5380859375,0.17714308969946158,75.42623422070686,37.24097946054219,0.993,1.8606993,196.63417354473233,2.015111184449075,80.0,"{'Company Size': 2112.8384, 'Business Interruption Cost': 166.02448, 'Data Sensitivity': 164.97296, 'Security Score': 86.63198, 'Compliance Standard': 19.309631}"
33,XGBoost,100,0.9503424221150821,261.44894986617567,519.9939322577155,0.9507367358298275,0.9507367358298275,39.01161422729492,1851.9759765625004,0.16470275136038637,59.461189558191954,-46.33684403884412,1.0,1.7023335,130.72447493308783,1.1130918922296344,100.0,"{'Company Size': 1383.8562, 'Industry Risk': 82.123985, 'Data Sensitivity': 22.677683, 'Security Score': 11.590788, 'Business Interruption Cost': 10.711582}"
34,XGBoost,1000,0.9309740236572759,300.2645138560533,786.7700491141487,0.9311554470729432,0.9311554470729432,42.0383849978447,5460.689179687501,0.15781153541530119,85.36545971712826,-40.33557099297045,0.995,1.9878743,150.13225692802666,1.9197062701473848,80.0,"{'Company Size': 1878.1786, 'Business Interruption Cost': 161.66896, 'Data Sensitivity': 136.66238, 'Security Score': 57.239803, 'Previous Cyber Incidents': 32.024742}"
35,XGBoost,2000,0.8867807294280975,358.54254936305284,960.2421287060905,0.8868341801577604,0.8868341801577604,50.700160636901856,10891.122812500002,0.1879672634963287,75.72600247117464,20.86399157444238,0.9975,1.8942974,179.27127468152642,2.0640212026229157,100.0,"{'Company Size': 1960.4899, 'Business Interruption Cost': 168.22723, 'Data Sensitivity': 118.79539, 'Security Score': 44.49583, 'Industry Risk': 34.299618}"
36,XGBoost,5000,0.8972074097644831,347.35557010576247,934.0510922006209,0.8977522870172099,0.8977522870172099,46.41884658813476,8118.1411328125,0.17908703557617411,76.53263625686263,68.00472151309013,0.997,1.9429935,173.67778505288123,1.8751027423373965,100.0,"{'Company Size': 2014.7363, 'Data Sensitivity': 163.64998, 'Business Interruption Cost': 139.62251, 'Security Score': 71.139725, 'Industry Risk': 17.451881}"
37,XGBoost,100,0.8740500728196061,732.8211311883927,1409.8620899126033,0.8765680712543416,0.8765680712543416,81.23646469116211,4194.2190625,0.24861420784084232,83.20428365363645,199.34502445888526,1.0,1.5627159,366.4105655941963,1.8461639701493906,80.0,"{'Company Size': 2714.0034, 'Security Score': 205.4423, 'Industry Risk': 165.55984, 'Business Interruption Cost': 113.737, 'Geographic Location': 113.38579}"
38,XGBoost,1000,0.8339591881765305,485.76371862301824,1231.5683213276734,0.8373773579682905,0.8373773579682905,64.63512786865235,9078.5717578125,0.23259062754110776,67.71779693944961,176.70461867985722,0.995,1.8739253,242.88185931150912,2.1338778185824707,80.0,"{'Company Size': 2185.2312, 'Business Interruption Cost': 209.42625, 'Data Sensitivity': 165.66684, 'Security Score': 97.451, 'Previous Cyber Incidents': 83.53415}"
39,XGBoost,2000,0.8526913819678765,464.2664103133768,1239.5104322397224,0.8526967772407087,0.8526967772407087,57.37552734375,10481.598828125,0.22071013415695998,80.2212216020196,7.50140846761763,0.995,1.948385,232.1332051566884,2.0363199342229974,100.0,"{'Company Size': 1979.116, 'Business Interruption Cost': 167.05252, 'Data Sensitivity': 127.93821, 'Security Score': 58.881207, 'Industry Risk': 27.87137}"
40,XGBoost,5000,0.9147296011051461,270.0769615175724,739.991084522787,0.9154317839770337,0.9154317839770337,41.86667816162111,7556.231875,0.1626941536812295,78.56775718284675,67.15099557488442,0.996,2.0392604,135.0384807587862,1.9706820225106911,80.0,"{'Company Size': 1819.3267, 'Business Interruption Cost': 144.19968, 'Data Sensitivity': 139.91481, 'Security Score': 55.310287, 'Previous Cyber Incidents': 32.847214}"
