Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
27,XGBoost,2000,0.9711572635111622,38.77136779785156,57.76297727273318,0.9711842438641536,0.9711842438641536,26.539093017578125,312.974365234375,0.14533990719060996,4.010010810853573,1.7666688537597657,1.0,0.3325649,19.38568389892578,2.0992999490920123,100.0,"{'Annual kilometers': 197.9484, 'Age': 160.89029, 'Business Use': 106.97878, 'State': 76.84547, 'Gender': 14.905116}"
28,XGBoost,5000,0.9745578515735583,38.11009475708008,59.56454970774428,0.9745911590642038,0.9745911590642038,22.8739013671875,396.138916015625,0.12662833720852987,3.677980017219863,2.1551719665527345,1.0,0.35777116,19.05504737854004,2.0054159396562445,100.0,"{'Annual kilometers': 200.96927, 'Age': 169.63191, 'Business Use': 105.74509, 'State': 85.784386, 'Gender': 15.197213}"
29,XGBoost,100,0.7170462437420319,179.2879425048828,197.66486232326554,0.729029598963933,0.729029598963933,172.8096923828125,351.9383544921875,0.55786901022118,19.63829182414521,40.67812805175781,1.0,0.23658788,89.6439712524414,1.5026503471596362,80.0,"{'Age': 124.36452, 'Annual kilometers': 109.693344, 'Business Use': 74.27031, 'State': 33.47851, 'Sum Insured Value Type': 24.613636}"
30,XGBoost,1000,0.9519186190227987,52.992380981445315,78.35147659306818,0.9519439829426464,0.9519439829426464,32.34144592285156,358.3726806640625,0.1841187624934561,4.912210367216673,1.7995623779296874,1.0,0.33366212,26.496190490722658,1.7814352066192671,100.0,"{'Annual kilometers': 197.27739, 'Age': 176.56676, 'Business Use': 110.67502, 'State': 84.84096, 'Gender': 14.0226555}"
31,XGBoost,2000,0.9660260647333384,45.77135208129883,68.82269100742025,0.9662165300874013,0.9662165300874013,26.94281005859375,355.38818359375,0.15244661201842605,4.295686169197836,-5.153078002929687,1.0,0.34226328,22.885676040649415,2.120239200220551,100.0,"{'Annual kilometers': 192.12096, 'Age': 167.08655, 'Business Use': 107.74819, 'State': 77.85633, 'Gender': 19.44258}"
32,XGBoost,5000,0.9739649408918817,34.83887689208984,59.0434425143345,0.9739701256495086,0.9739701256495086,18.2884521484375,481.71484375,0.12003099715103185,3.408756092862587,0.833214111328125,1.0,0.35133585,17.41943844604492,1.9552121576131458,100.0,"{'Annual kilometers': 196.5488, 'Age': 171.20192, 'Business Use': 110.29331, 'State': 89.481064, 'Gender': 16.205736}"
33,XGBoost,100,0.8772866540646822,102.25812072753907,123.13147436082889,0.8774291932702856,0.8774291932702856,97.48031616210938,291.0465087890625,0.36014623321372513,10.96505717460648,4.196530151367187,1.0,0.28516996,51.12906036376953,1.6704519771165929,80.0,"{'Age': 169.13423, 'Annual kilometers': 138.62932, 'State': 65.5854, 'Business Use': 62.545067, 'Number of Claims': 32.493626}"
34,XGBoost,1000,0.9496913190018249,49.920719604492184,86.48020925178936,0.950307573941367,0.950307573941367,25.94842529296875,568.05712890625,0.16807570436910463,4.651276724965237,-9.571400146484375,1.0,0.3475406,24.960359802246092,1.9174413197704436,100.0,"{'Annual kilometers': 184.65533, 'Age': 169.38289, 'Business Use': 111.08429, 'State': 83.82802, 'Gender': 14.021633}"
35,XGBoost,2000,0.9544220471302786,48.55059143066406,76.8194598864936,0.9544223695098779,0.9544223695098779,28.95343017578125,376.110107421875,0.17071657870092793,4.763405598935985,0.20430435180664064,1.0,0.3283472,24.27529571533203,1.955705293850669,100.0,"{'Annual kilometers': 189.36446, 'Age': 160.8981, 'Business Use': 106.57869, 'State': 75.50974, 'Gender': 15.338662}"
36,XGBoost,5000,0.9606126077950695,50.338256866455076,77.35994806415022,0.9610181218342102,0.9610181218342102,31.389892578125,712.25,0.16395264571753654,4.736778503753384,-7.8494730529785155,0.999,0.35477522,25.169128433227538,2.000084805131074,100.0,"{'Annual kilometers': 195.44003, 'Age': 163.72832, 'Business Use': 108.55659, 'State': 74.57121, 'Gender': 14.428478}"
